Primary Dealer,mnem,Start Date,End Date
"AUBREY G. LANSTON & CO., INC.",,1960-05-19,2000-04-17
BARTOW LEEDS & CO.,,1960-05-19,1962-06-14
"C.F. CHILDS & CO., INC",,1960-05-19,1965-06-29
CONTINENTAL ILL.,,1960-05-19,1988-12-14
"D.W. RICH & CO., INC",,1960-05-19,1969-12-31
DREXEL BURNHAM LAMBERT,,1960-05-19,1990-03-28
MALON S. ANDRUS INC.,,1960-05-19,1965-11-24
SECURITIES GROUPS,,1960-05-19,1983-06-05
THE FIRST BOSTON CORPORATION,,1960-05-19,1993-10-11
"WM. E. POLLOCK GOV'T SECURITIES,INC",,1960-05-19,1987-02-03
"SECOND DISTRICT SECURITIES CO., INC",,1961-06-15,1980-08-27
F.I. DUPONT & CO,,1968-12-12,1973-07-18
BECKER,,1971-11-17,1984-09-10
"WHITE, WELD & CO INC.",,1976-02-26,1978-04-18
"WEEDEN & CO., INC.",,1976-06-17,1978-05-15
"KLEINWORT BENSON  GOV'T SEC., INC.",,1980-02-13,1989-12-27
"BEAR,STEARNS & CO., INC.",,1981-06-10,2008-10-01
N.Y.HANSEATIC CORP.,,1984-02-08,1984-07-26
"L.F.ROTHSCHILD,UNTERBERG,TOWBIN",,1986-12-11,1987-05-15
"BROPHY,GESTAL, KNIGHT AND CO., L.P.",,1987-05-08,1988-06-19
"CRT GOVERNMENT SECURITIES,INC.",,1987-12-22,1993-07-05
THE NIKKO SECURITIES CO. INT',,1987-12-22,1999-01-03
"SANWA-BGK SECURITIES CO., L.P.",,1988-06-20,1993-12-31
"S.G. WARBURG & CO., INC.",,1988-06-24,1995-07-26
"WERTHEIM SCHRODER & CO., INC.",,1988-06-24,1990-11-08
"YAMAICHI INT'L (AMERICA), INC.",,1988-09-29,1997-12-04
"SBC GOVERNMENT SECURITIES, INC.",,1990-03-29,1995-01-02
EASTBRIDGE CAPITAL INC.,,1992-06-18,1998-05-29
"NATIONSBANK OF NORTH CAROLINA, N.A.",,1993-07-06,1993-09-30
"NATIONSBANC CAPITAL MARKETS, INC.",,1993-10-01,1997-09-30
"SANWA SECURITIES (USA) CO., L",,1994-01-01,1998-07-20
SBC CAPITAL MARKETS INC.,,1995-01-03,1996-06-02
SBC WARBURG INC.,,1996-06-03,1997-09-02
SBC WARBURG DILLON READ INC.,,1997-09-03,1998-06-28
"NATIONSBANC MONTGOMERY SECUR,",,1997-10-01,1998-09-30
WARBURG DILLON READ LLC.,,1998-06-29,2000-04-28
ABN AMRO INCORPORATED,,1998-09-29,2002-12-08
"NATIONSBANC MONTGOMERY SECUR,",,1998-10-01,1999-05-16
SG COWEN SECURITIES CORP.,,1999-07-01,2001-10-31
RBS SECURITIES INC.,,2009-04-01,
"SG AMERICAS SECURITIES, LLC",,2011-02-02,
