Primary Dealer,Start Date,End Date,gvkey
BA SECURITIES INC,04/18/1994,09/30/1997,2024
BANC OF AMERICA SECURITIES LLC,05/17/1999,11/01/2010,7647
BANC ONE CAPITAL MARKETS INC,04/01/1999,08/01/2004,1998
BANCAMERICA ROBERTSON STEPHEN,10/01/1997,08/31/1998,2024
BANCAMERICA SECURITIES INC,09/01/1998,09/30/1998,2024
BANK OF AMERICA NT & SA,11/17/1971,04/15/1994,2024
BANKERS TRUST,05/19/1960,07/07/1989,2029
BEARSTEARNS & CO INC,06/10/1981,10/01/2008,11818
BLYTH EASTMAN DILLON CAPITAL MARKETS,12/05/1974,12/31/1979,5843
BNY SECURITIES INC,08/01/1989,08/09/1990,2019
BOFA SECURITIES,05/13/2019,,7647
BT ALEX BROWN INCORPORATED,10/23/1997,06/04/1999,2029
BT SECURITIES CORPORATION,07/10/1989,10/22/1997,2029
CHASE MANHATTAN CAPITAL MARKETS CORP,07/01/1987,12/19/1988,2943
CHASE MANHATTAN GOVT SECURITIES,07/15/1970,06/30/1987,2943
CHASE SECURITIES INC,04/01/1996,04/30/2001,2968
CHASE SECURITIES INC,12/20/1988,03/31/1996,2943
CHEMICAL,05/19/1960,03/31/1989,2968
CHEMICAL SECURITIES INC,01/01/1992,03/31/1996,2968
CHEMICAL SECURITIES INC,04/01/1989,12/31/1991,2968
CITIBANK,06/15/1961,04/13/1989,3066
CITICORP SECURITIES MARKETS INC,04/14/1989,07/14/1993,3066
CITICORP SECURITIES INC,07/15/1993,11/30/1998,3066
CITIGROUP GLOBAL MARKETS INC,04/07/2003,,3243
CONTINENTAL BANK NATIONAL ASSOC,12/15/1988,08/30/1991,3463
CONTINENTAL ILL,05/19/1960,12/14/1988,3463
COUNTRYWIDE SECURITES CORPORATION,01/15/2004,07/15/2008,3555
DEAN WITTER REYNOLDS INC,11/02/1977,04/30/1998,3823
DEAN WITTER REYNOLDS INC,11/02/1977,04/30/1998,6307
DEAN WITTER REYNOLDS INC,11/02/1977,04/30/1998,27867
DILLON READ & CO INC,06/24/1988,09/02/1997,10705
DISCOUNT CORPORATION OF NEW YORK,05/19/1960,08/10/1993,3689
DLJ SECURITIES CORPORATION,03/06/1974,12/31/2000,4037
FIRST CHICAGO,05/19/1960,01/01/1990,4689
FIRST CHICAGO CAPITAL MARKETS,01/02/1990,03/31/1999,7650
FIRST INTERSTATE,07/31/1964,10/31/1986,4710
FIRST INTERSTATE CAPITAL MARKETSINC,11/03/1986,06/17/1988,4710
FIRST NB OF BOSTON,03/21/1983,11/17/1985,2014
FIRST PENNCO SEC INC,03/07/1974,08/27/1980,4732
GOLDMAN SACHS & CO,12/04/1974,,114628
HARRIS TRUST,07/15/1965,08/31/1988,5491
HUTTON,11/02/1977,12/31/1987,5793
IRVING SECURITIES INC,05/19/1960,07/31/1989,6186
JP MORGAN SECURITIES INC,05/01/2001,09/01/2010,2968
JP MORGAN SECURITIES LLC,09/01/2010,,2968
JPMORGAN SECURITIESINC,05/19/1960,04/30/2001,7562
JEFFERIES & COMPANY INC,06/18/2009,03/01/2013,6682
JEFFERIES LLC,03/01/2013,,6682
KIDDER PEABODY & CO INCORPORATED,02/07/1979,12/30/1994,5047
LFROTHSCHILD & CO INC,05/18/1987,01/17/1989,12223
LFROTHSCHILDUNTERBERGTOWBIN,12/11/1986,05/15/1987,12223
LEHMAN,01/01/1984,12/31/1987,1447
LEHMAN BROTHERS INC,08/31/1995,09/22/2008,30128
LEHMAN GOVERNMENT SECURITIES INC,08/01/1990,08/30/1995,1447
MANUFACTURERS HANOVER,08/31/1983,07/29/1988,7003
MANUFACTURERS HANOVER SECURITIES COR,08/01/1988,12/31/1991,7003
MERRILL LYNCH GOVERNMENT SEC INC,05/19/1960,02/11/2009,7267
MERRILL LYNCH PIERCE FENNER & SMITH INCORPORATED,11/01/2010,05/13/2019,7647
MF GLOBAL,02/02/2011,10/31/2011,177745
MORGAN STANLEY & CO INCORPORATED,02/01/1978,05/31/2011,12124
MORGAN STANLEY & CO LLC,05/31/2011,,12124
NATIONSBANC CAPITAL MARKETS INC,10/01/1993,09/30/1997,7647
NATIONSBANC MONTGOMERY SECURITIES INC,10/01/1997,09/30/1998,7647
NATIONSBANC MONTGOMERY SECURITIES LLC,10/01/1998,05/16/1999,7647
NATIONSBANK OF NORTH CAROLINA NA,07/06/1993,09/30/1993,7647
NORTHERN TRUST,08/08/1973,05/29/1986,7982
NUVEEN GOVT SEC INC,11/18/1971,08/27/1980,9380
PAINE WEBBER INCORPORATED,11/25/1976,12/04/2000,8299
PAINE WEBBER JACKSON & CURTIS INC,06/22/1972,06/27/1973,8299
PRUDENTIAL SECURITIES INCORPO,02/25/1991,12/01/2000,143356
PRUDENTIAL-BACHE,10/29/1975,02/24/1991,1967
SALOMON SMITH BARNEY INC,09/01/1998,04/06/2003,3243
SECURITY PACIFIC NATIONAL BANK,12/11/1986,01/17/1991,9577
SHEARSON LEHMAN,01/01/1988,07/31/1990,1447
SMITH BARNEY INC,06/01/1994,08/31/1998,3243
SMITH BARNEY SHEARSON INC,08/02/1993,05/31/1994,3243
SMITH BARNEY HARRIS UPHAM & COINC,08/22/1979,08/01/1993,3243
THE FIRST BOSTON CORPORATION,05/19/1960,10/11/1993,4684
WELLS FARGO SECURITIES LLC,04/18/2016,,8007
ZIONS FIRST NATIONAL BANK,08/11/1993,03/31/2002,11687
