Primary Dealer,Start Date,End Date,gvkey
BA SECURITIES INC,4/18/94,9/30/97,2024
BANC OF AMERICA SECURITIES LLC,5/17/99,11/1/10,7647
BANC ONE CAPITAL MARKETS INC,4/1/99,8/1/04,1998
BANCAMERICA ROBERTSON STEPHEN,10/1/97,8/31/98,2024
BANCAMERICA SECURITIES INC,9/1/98,9/30/98,2024
BANK OF AMERICA NT & SA,11/17/71,4/15/94,2024
BANKERS TRUST,5/19/60,7/7/89,2029
BEARSTEARNS & CO INC,6/10/81,10/1/08,11818
BLYTH EASTMAN DILLON CAPITAL MARKETS,12/5/74,12/31/79,5843
BNY SECURITIES INC,8/1/89,8/9/90,2019
BOFA SECURITIES,5/13/19,,7647
BT ALEX BROWN INCORPORATED,10/23/97,6/4/99,2029
BT SECURITIES CORPORATION,7/10/89,10/22/97,2029
CHASE MANHATTAN CAPITAL MARKETS CORP,7/1/87,12/19/88,2943
CHASE MANHATTAN GOVT SECURITIES,7/15/70,6/30/87,2943
CHASE SECURITIES INC,4/1/96,4/30/01,2968
CHASE SECURITIES INC,12/20/88,3/31/96,2943
CHEMICAL,5/19/60,3/31/89,2968
CHEMICAL SECURITIES INC,1/1/92,3/31/96,2968
CHEMICAL SECURITIES INC,4/1/89,12/31/91,2968
CITIBANK,6/15/61,4/13/89,3066
CITICORP SECURITIES MARKETS INC,4/14/89,7/14/93,3066
CITICORP SECURITIES INC,7/15/93,11/30/98,3066
CITIGROUP GLOBAL MARKETS INC,4/7/03,,3243
CONTINENTAL BANK NATIONAL ASSOC,12/15/88,8/30/91,3463
CONTINENTAL ILL,5/19/60,12/14/88,3463
COUNTRYWIDE SECURITES CORPORATION,1/15/04,7/15/08,3555
DEAN WITTER REYNOLDS INC,11/2/77,4/30/98,3823
DEAN WITTER REYNOLDS INC,11/2/77,4/30/98,6307
DEAN WITTER REYNOLDS INC,11/2/77,4/30/98,27867
DILLON READ & CO INC,6/24/88,9/2/97,10705
DISCOUNT CORPORATION OF NEW YORK,5/19/60,8/10/93,3689
DLJ SECURITIES CORPORATION,3/6/74,12/31/00,4037
FIRST CHICAGO,5/19/60,1/1/90,4689
FIRST CHICAGO CAPITAL MARKETS,1/2/90,3/31/99,7650
FIRST INTERSTATE,7/31/64,10/31/86,4710
FIRST INTERSTATE CAPITAL MARKETSINC,11/3/86,6/17/88,4710
FIRST NB OF BOSTON,3/21/83,11/17/85,2014
FIRST PENNCO SEC INC,3/7/74,8/27/80,4732
GOLDMAN SACHS & CO,12/4/74,,114628
HARRIS TRUST,7/15/65,8/31/88,5491
HUTTON,11/2/77,12/31/87,5793
IRVING SECURITIES INC,5/19/60,7/31/89,6186
JP MORGAN SECURITIES INC,5/1/01,9/1/10,2968
JP MORGAN SECURITIES LLC,9/1/10,,2968
JPMORGAN SECURITIESINC,5/19/60,4/30/01,7562
JEFFERIES & COMPANY INC,6/18/09,3/1/13,6682
JEFFERIES LLC,3/1/13,,6682
KIDDER PEABODY & CO INCORPORATED,2/7/79,12/30/94,5047
LFROTHSCHILD & CO INC,5/18/87,1/17/89,12223
LFROTHSCHILDUNTERBERGTOWBIN,12/11/86,5/15/87,12223
LEHMAN,1/1/84,12/31/87,1447
LEHMAN BROTHERS INC,8/31/95,9/22/08,30128
LEHMAN GOVERNMENT SECURITIES INC,8/1/90,8/30/95,1447
MANUFACTURERS HANOVER,8/31/83,7/29/88,7003
MANUFACTURERS HANOVER SECURITIES COR,8/1/88,12/31/91,7003
MERRILL LYNCH GOVERNMENT SEC INC,5/19/60,2/11/09,7267
MERRILL LYNCH PIERCE FENNER & SMITH INCORPORATED,11/1/10,5/13/19,7647
MF GLOBAL,2/2/11,10/31/11,177745
MORGAN STANLEY & CO INCORPORATED,2/1/78,5/31/11,12124
MORGAN STANLEY & CO LLC,5/31/11,,12124
NATIONSBANC CAPITAL MARKETS INC,10/1/93,9/30/97,7647
NATIONSBANC MONTGOMERY SECURITIES INC,10/1/97,9/30/98,7647
NATIONSBANC MONTGOMERY SECURITIES LLC,10/1/98,5/16/99,7647
NATIONSBANK OF NORTH CAROLINA NA,7/6/93,9/30/93,7647
NORTHERN TRUST,8/8/73,5/29/86,7982
NUVEEN GOVT SEC INC,11/18/71,8/27/80,9380
PAINE WEBBER INCORPORATED,11/25/76,12/4/00,8299
PAINE WEBBER JACKSON & CURTIS INC,6/22/72,6/27/73,8299
PRUDENTIAL SECURITIES INCORPO,2/25/91,12/1/00,143356
PRUDENTIAL-BACHE,10/29/75,2/24/91,1967
SALOMON SMITH BARNEY INC,9/1/98,4/6/03,3243
SECURITY PACIFIC NATIONAL BANK,12/11/86,1/17/91,9577
SHEARSON LEHMAN,1/1/88,7/31/90,1447
SMITH BARNEY INC,6/1/94,8/31/98,3243
SMITH BARNEY SHEARSON INC,8/2/93,5/31/94,3243
SMITH BARNEY HARRIS UPHAM & COINC,8/22/79,8/1/93,3243
THE FIRST BOSTON CORPORATION,5/19/60,10/11/93,4684
WELLS FARGO SECURITIES LLC,4/18/16,,8007
ZIONS FIRST NATIONAL BANK,8/11/93,3/31/02,11687
