Primary Dealer,From,To,Parent Company,Country,MNEM
ABN AMRO BANK N.V. NY BR,09/12/2002,15/09/2006,ABN AMRO HOLDING,NLD,H:AAB
ABN AMRO INCORPORATED,29/09/1998,08/12/2002,ABN AMRO HOLDING,NLD,H:AAB
AUBREY G. LANSTON & CO. INC.,19/05/1960,17/04/2000,INDUSTRIAL BANK OF JAPAN LTD,JPN,J:IK@N
BANK OF NOVA SCOTIA NEW YORK AGENCY,04/10/2011,Current Dealer,BANK OF NOVA SCOTIA,CAN,C:BNS
BARCLAYS CAPITAL INC.,01/04/1998,Current Dealer,BARCLAYS,GBR,BARC
BARCLAYS DE ZOETE WEDD GSI,07/12/1989,01/03/1990,BARCLAYS,GBR,BARC
BARCLAYS DE ZOETE WEDD SECURITIES IN,02/03/1990,30/06/1996,BARCLAYS,GBR,BARC
BMO CAPITAL MARKETS CORP.,04/10/2011,Current Dealer,BANK OF MONTREAL,CAN,C:BMO
BMO NESBITT BURNS CORP.,15/02/2000,31/03/2002,BANK OF MONTREAL,CAN,C:BMO
BNP PARIBAS SECURITIES CORP.,15/09/2000,Current Dealer,BNP PARIBAS,FRA,F:BNP
BZW SECURITIES INC.,01/07/1996,31/03/1998,BARCLAYS,GBR,BARC
CARROLL MCENTEE & MCGINLEY INC.,29/09/1976,06/05/1994,HSBC HLDGS PLC,HK,K:HSBC
CIBC OPPENHEIMER CORP.,04/12/1997,02/05/1999,CANADIAN IMPERIAL BANK,CAN,C:CM
CIBC WOOD GUNDY SECURITIES CO,27/03/1996,03/12/1997,CANADIAN IMPERIAL BANK,CAN,C:CM
CIBC WORLD MARKETS CORP.,03/05/1999,08/02/2007,CANADIAN IMPERIAL BANK,CAN,C:CM
COUNTY NATWEST GOV. SEC. INC.,29/09/1988,13/01/1989,NATL WESTMINSTER BANK,GBR,NWB
CREDIT SUISSE 1ST BOSTON LLC,17/01/2003,16/01/2006,CREDIT SUISSE GROUP,CHE,S:CSGN
CREDIT SUISSE AG NEW YORK BRANCH,13/11/2017,Current Dealer,CREDIT SUISSE GROUP,CHE,S:CSGN
CREDIT SUISSE FIRST BOSTON CO,16/12/1996,16/01/2003,CREDIT SUISSE GROUP,CHE,S:CSGN
CREDIT SUISSE SECURITIES (USA) LLC,16/01/2006,13/11/2017,CREDIT SUISSE GROUP,CHE,S:CSGN
CS FIRST BOSTON CORPORATION,12/10/1993,15/12/1996,CREDIT SUISSE GROUP,CHE,S:CSGN
DAIWA CAPITAL MARKETS AMERICA INC.,01/04/2010,Current Dealer,DAIWA SECURITIES GROUP INC,JPN,J:DS@N
DAIWA SECURITIES AMERICA INC.,11/12/1986,01/04/2010,DAIWA SECURITIES GROUP INC,JPN,J:DS@N
DEUTSCH BANC ALEX. BROWN INC.,12/01/2001,29/03/2002,DEUTSCHE BANK,DEU,D:DBK
DEUTSCHE BANK GSI,13/12/1990,30/09/1993,DEUTSCHE BANK,DEU,D:DBK
DEUTSCHE BANK SECURITIES CORPORATION,01/10/1993,31/10/1995,DEUTSCHE BANK,DEU,D:DBK
DEUTSCHE BANK SECURITIES INC.,01/06/1998,11/01/2001,DEUTSCHE BANK,DEU,D:DBK
DEUTSCHE BANK SECURITIES INC.,30/03/2002,Current Dealer,DEUTSCHE BANK,DEU,D:DBK
DEUTSCHE MORGAN GRENFELL/C.J.,01/11/1995,29/05/1998,DEUTSCHE BANK,DEU,D:DBK
DLJ SECURITIES CORPORATION,06/03/1974,31/12/2000,AXA SA,FRA,F:MIDI
DRESDNER KLEINWORT BENSON NOR,08/05/1997,29/04/2001,DRESDNER BANK,DEU,D:DRB
DRESDNER KLEINWORT SECURITIES LLC,18/09/2006,26/06/2009,ALLIANZ,DEU,D:ALV
DRESDNER KLEINWORT WASSERSTEIN SECURITIES LLC,30/04/2001,18/09/2006,ALLIANZ,DEU,D:ALV
EASTBRIDGE CAPITAL INC.,18/06/1992,29/05/1998,NIPPON CREDIT BANK LTD,JPN,J:NPCB
FUJI SECURITIES INC.,28/12/1989,31/03/2002,FUJI BANK LTD,JPN,J:FB@N
GREENWICH CAPITAL MARKETS INC.,31/07/1984,01/04/2009,NATL WESTMINSTER BANK,GBR,NWB
GREENWICH CAPITAL MARKETS INC.,31/07/1984,01/04/2009,ROYAL BANK OF SCOTLAND GROUP,GBR,RBS
GREENWICH CAPITAL MARKETS INC.,31/07/1984,01/04/2009,LONG TERM CREDIT BANK OF JAPAN,JPN,J:LTCR
HARRIS GOVERNMENT SECURITIES,01/09/1988,30/12/1992,BANK OF MONTREAL,CAN,C:BMO
HARRIS NESBITT THOMSON SEC. INC.,08/09/1993,31/05/1995,BANK OF MONTREAL,CAN,C:BMO
HARRIS-NESBITT THOMSON SEC. INC.,31/12/1992,07/09/1993,BANK OF MONTREAL,CAN,C:BMO
HSBC SECURITIES (USA) INC.,01/06/1999,Current Dealer,HSBC HLDGS PLC,HK,K:HSBC
HSBC SECURITIES INC.,09/05/1994,31/05/1999,HSBC HLDGS PLC,HK,K:HSBC
KLEINWORT BENSON GOV'T SEC. INC.,13/02/1980,27/12/1989,KLEINWORT BENSON GROUP PLC,GBR,KBL
LLOYDS GOV'T SECURITIES INC.,22/12/1987,28/04/1989,LLOYDS BANKING GROUP PLC,GBR,LLOY
MIDLAND-MONTAGU GOV. SEC. INC.,13/08/1975,26/07/1990,MIDLAND BANK,GBR,MID
MIZUHO SECURITIES USA INC.,01/04/2002,Current Dealer,MIZUHO FINANCIAL GROUP INC,JPN,J:MIZH
NESBITT BURNS SECURITIES INC.,01/06/1995,14/02/2000,BANK OF MONTREAL,CAN,C:BMO
NOMURA SECURITIES INTERNATIONAL INC.,11/12/1986,30/11/2007,NOMURA HOLDINGS INC,JPN,J:NM@N
NOMURA SECURITIES INTERNATIONAL INC.,27/07/2009,Current Dealer,NOMURA HOLDINGS INC,JPN,J:NM@N
PARIBAS CORPORATION,01/05/1997,14/09/2000,BNP PARIBAS,FRA,F:BNP
RBC CAPITAL MARKETS CORPORATION,08/07/2009,01/11/2010,ROYAL BANK OF CANADA,CAN,C:RY
RBC CAPITAL MARKETS LLC,01/11/2010,Current Dealer,ROYAL BANK OF CANADA,CAN,C:RY
RBS SECURITIES INC.,01/04/2009,Current Dealer,ROYAL BANK OF SCOTLAND GROUP,GBR,RBS
S.G. WARBURG & CO. INC.,24/06/1988,26/07/1995,WARBURG SG GROUP,GBR,WARB
SANWA SECURITIES (USA) CO. L,01/01/1994,20/07/1998,SANWA BANK LTD,JPN,J:SA@N
SANWA-BGK SECURITIES CO. L.P.,20/06/1988,31/12/1993,SANWA BANK LTD,JPN,J:SA@N
SBC CAPITAL MARKETS INC.,03/01/1995,02/06/1996,SWISS BANK CO,CHE,S:SBVN
SBC GOVERNMENT SECURITIES INC.,29/03/1990,02/01/1995,SWISS BANK CO,CHE,S:SBVN
SBC WARBURG DILLON READ INC.,03/09/1997,28/06/1998,SWISS BANK CO,CHE,S:SBVN
SBC WARBURG INC.,03/06/1996,02/09/1997,SWISS BANK CO,CHE,S:SBVN
SG AMERICAS SECURITIES LLC,02/02/2011,07/12/2015,SOCIETE GENERALE GROUP,FRA,F:SGE
SG COWEN SECURITIES CORP.,01/07/1999,31/10/2001,SOCIETE GENERALE GROUP,FRA,F:SGE
SOCIETE GENERALE NEW YORK BRANCH,07/12/2015,Current Dealer,SOCIETE GENERALE GROUP,FRA,F:SGE
TD SECURITIES (USA) LLC,11/02/2014,Current Dealer,TORONTO DOMINION BANK,CAN,C:TD
THE NIKKO SECURITIES CO. INT'L,22/12/1987,03/01/1999,NIKKO CORDIAL CORP,JPN,J:NK@N
UBS SECURITIES INC.,07/12/1989,29/02/1996,UBS GROUP AG,CHE,S:UBSG
UBS SECURITIES LLC,01/03/1996,28/06/1998,UBS GROUP AG,CHE,S:UBSG
UBS SECURITIES LLC.,09/06/2003,Current Dealer,UBS GROUP AG,CHE,S:UBSG
UBS WARBURG LLC.,01/05/2000,08/06/2003,UBS GROUP AG,CHE,S:UBSG
WARBURG DILLON READ LLC.,29/06/1998,28/04/2000,UBS GROUP AG,CHE,S:UBSG
WERTHEIM SCHRODER & CO. INC.,24/06/1988,08/11/1990,SCHRODERS PLC,GBP,SDR
WESTPAC POLLOCK GOV'T SECURITIES INC,04/02/1987,27/06/1990,WESTPAC BANKING,AUS,A:WBCX
YAMAICHI INT'L (AMERICA) INC.,29/09/1988,04/12/1997,YAMAICHI SECURITIES CO LTD,JPN,J:YG@N
